codice;pro_com;nome;nome_lower;PARTITO DEMOCRATICO;+EUROPA;ITALIA EUROPA INSIEME;CIVICA POPOLARE LORENZIN;LEGA;FORZA ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;NOI CON L'ITALIA - UDC;MOVIMENTO 5 STELLE;LIBERI E UGUALI;POTERE AL POPOLO!;CASAPOUND ITALIA;IL POPOLO DELLA FAMIGLIA;PARTITO VALORE UMANO;ITALIA AGLI ITALIANI;10 VOLTE MEGLIO;PER UNA SINISTRA RIVOLUZIONARIA;PARTITO REPUBBLICANO ITALIANO - ALA;GRANDE NORD;BLOCCO NAZIONALE PER LE LIBERTA';ITALIA NEL CUORE;SIAMO;LISTA DEL POPOLO PER LA COSTITUZIONE;PATTO PER L'AUTONOMIA;RINASCIMENTO MIR;PARTITO COMUNISTA;AUTODETERMINATZIONE;POUR TOUS PER TUTTI PE TCHEUT;PD-UV-UVP-EPAV;RISPOSTA CIVICA;FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;SVP - PATT;Total;CSIN;CSINPIU;CDES;PARTITO DEMOCRATICO 2013;FORZA ITALIA 2013;LEGA 2013;MOVIMENTO 5 STELLE 2013
14120440430;43043;POTENZA PICENA;Potenza Picena;1672;98;23;25;1277;677;1154;97;3157;240;108;80;153;0;0;0;0;0;0;0;0;0;8;0;0;60;0;0;0;0;0;0;8829;1818;2058;3205;2248;1549;64;3107
14120440440;43044;RECANATI;Recanati;2205;257;49;41;2031;1131;629;225;4299;374;227;116;110;0;0;0;0;0;0;0;0;0;12;0;0;91;0;0;0;0;0;0;11797;2552;2926;4016;3063;2258;78;4264
14121050050;109005;FALERONE;Falerone;314;26;5;6;306;184;63;11;681;48;16;30;5;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;1716;351;399;564;560;347;6;563
14121050060;109006;FERMO;Fermo;4010;407;58;72;3295;2004;1000;145;7500;691;359;302;163;0;0;0;0;0;0;0;0;0;31;0;0;199;0;0;0;0;0;0;20236;4547;5238;6444;6046;3926;131;7147
14121050070;109007;FRANCAVILLA D'ETE;Francavilla d'Ete;76;5;0;14;122;65;31;10;198;14;3;5;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;547;95;109;228;-;-;-;-
14121050110;109011;MASSA FERMANA;Massa Fermana;129;4;1;2;78;42;19;5;173;6;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;488;136;142;144;159;101;3;150
14121050130;109013;MONTAPPONE;Montappone;150;8;0;1;190;131;48;10;360;9;8;4;1;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;927;159;168;379;222;283;8;288
14121050170;109017;MONTEGIORGIO;Montegiorgio;648;51;11;13;662;416;153;20;1312;96;35;61;25;0;0;0;0;0;0;0;0;0;2;0;0;35;0;0;0;0;0;0;3540;723;819;1251;982;816;18;1375
14121050180;109018;MONTEGRANARO;Montegranaro;1217;62;32;25;1821;768;294;54;2675;105;38;60;32;0;0;0;0;0;0;0;0;0;11;0;0;79;0;0;0;0;0;0;7273;1336;1441;2937;1836;1753;57;2673
14121050230;109023;MONTE SAN PIETRANGELI;Monte San Pietrangeli;179;15;2;5;292;187;60;14;576;16;2;12;18;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;0;0;0;0;1387;201;217;553;226;384;9;529
14121050240;109024;MONTE URANO;Monte Urano;974;48;16;5;812;456;151;35;1884;87;40;40;16;0;0;0;0;0;0;0;0;0;8;0;0;56;0;0;0;0;0;0;4628;1043;1130;1454;1349;868;25;1744
14121050260;109026;MONTE VIDON CORRADO;Monte Vidon Corrado;80;6;1;0;65;42;10;5;163;10;2;2;3;0;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;0;0;401;87;97;122;129;91;0;149
14121050330;109033;PORTO SAN GIORGIO;Porto San Giorgio;1855;191;50;36;1687;1083;486;79;3004;366;105;105;137;0;0;0;0;0;0;0;0;0;12;0;0;62;0;0;0;0;0;0;9258;2132;2498;3335;2384;2103;35;3047
14121050340;109034;PORTO SANT'ELPIDIO;Porto Sant'Elpidio;2413;149;39;36;2523;1438;924;80;5038;227;101;190;130;0;0;0;0;0;0;0;0;0;20;0;0;95;0;0;0;0;0;0;13403;2637;2864;4965;-;-;-;-
14121050350;109035;RAPAGNANO;Rapagnano;136;14;2;1;195;131;46;5;554;22;1;16;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1127;153;175;377;211;323;8;476
14121050370;109037;SANT'ELPIDIO A MARE;Sant'Elpidio a Mare;1671;105;27;24;1746;1030;332;84;3799;184;66;141;82;0;0;0;0;0;0;0;0;0;27;0;0;64;0;0;0;0;0;0;9382;1827;2011;3192;-;-;-;-
14121050380;109038;SERVIGLIANO;Servigliano;314;18;5;2;189;176;49;8;471;26;10;12;11;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;1304;339;365;422;412;311;5;405
14121050400;109040;TORRE SAN PATRIZIO;Torre San Patrizio;142;6;1;3;227;129;70;14;464;16;3;16;3;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;1104;152;168;440;182;329;9;414
14130030100;42010;CASTELFIDARDO;Castelfidardo;2023;193;69;26;1849;982;344;65;3962;206;95;137;91;16;0;0;0;0;0;0;0;0;11;0;0;86;0;0;0;0;0;0;10155;2311;2517;3240;2741;1785;68;4326
14130030190;42019;FILOTTRANO;Filottrano;1107;63;18;20;1266;529;354;63;1506;119;42;133;50;19;0;0;0;0;0;0;0;0;4;0;0;35;0;0;0;0;0;0;5328;1208;1327;2212;1315;1012;63;1737
14130440020;43002;APIRO;Apiro;335;10;4;2;263;110;55;15;168;13;7;0;15;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;1007;351;364;443;459;203;10;333
14130440030;43003;APPIGNANO;Appignano;505;22;9;5;431;214;90;26;791;57;46;18;38;1;0;0;0;0;0;0;0;0;6;0;0;17;0;0;0;0;0;0;2276;541;598;761;695;398;15;789
14130440040;43004;BELFORTE DEL CHIENTI;Belforte del Chienti;221;12;6;4;240;95;62;13;352;25;19;9;3;2;0;0;0;0;0;0;0;0;3;0;0;12;0;0;0;0;0;0;1078;243;268;410;297;185;5;380
14130440050;43005;BOLOGNOLA;Bolognola;3;1;0;0;37;10;6;3;13;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;4;5;56;7;40;2;18
14130440060;43006;CALDAROLA;Caldarola;215;13;3;1;179;119;51;15;330;28;10;4;4;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;981;232;260;364;304;209;4;358
14130440070;43007;CAMERINO;Camerino;865;72;52;19;806;329;160;34;745;65;27;20;38;2;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;3282;1008;1073;1329;1171;820;27;1054
14130440080;43008;CAMPOROTONDO DI FIASTRONE;Camporotondo di Fiastrone;68;1;0;0;71;24;13;2;92;8;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;289;69;77;110;77;79;3;91
14130440090;43009;CASTELRAIMONDO;Castelraimondo;487;37;10;5;524;316;159;24;749;58;8;24;10;2;0;0;0;0;0;0;0;0;3;0;0;58;0;0;0;0;0;0;2474;539;597;1023;733;615;16;763
14130440100;43010;CASTELSANTANGELO SUL NERA;Castelsantangelo sul Nera;17;1;0;0;41;29;8;0;32;1;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;18;19;78;47;60;1;34
14130440110;43011;CESSAPALOMBO;Cessapalombo;17;3;1;0;61;46;9;7;88;6;2;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;246;21;27;123;47;82;2;112
14130440120;43012;CINGOLI;Cingoli;984;58;8;10;1647;1182;281;83;1248;104;35;37;74;4;0;0;0;0;0;0;0;0;2;0;0;40;0;0;0;0;0;0;5797;1060;1164;3193;1279;1648;45;1429
14130440140;43014;COLMURANO;Colmurano;160;7;4;1;134;69;29;1;225;8;2;3;11;3;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;667;172;180;233;181;130;6;228
14130440150;43015;CORRIDONIA;Corridonia;1560;87;28;93;1990;786;431;106;2800;127;51;84;95;15;0;0;0;0;0;0;0;0;10;0;0;61;0;0;0;0;0;0;8324;1768;1895;3313;2095;1816;72;3000
14130440160;43016;ESANATOGLIA;Esanatoglia;198;17;6;2;251;122;44;15;420;42;11;6;9;4;0;0;0;0;0;0;0;0;1;0;0;38;0;0;0;0;0;0;1186;223;265;432;363;246;16;349
