Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2796422;10;01/05/2016 14:05;Strada Urbana;VIA DELL'AEROPORTO;all'intersezione con;VIA LICINIO MURENA;VIA LICINIO MURENA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;12,55554;41,86184;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
2796422;10;01/05/2016 14:05;Strada Urbana;VIA DELL'AEROPORTO;all'intersezione con;VIA LICINIO MURENA;VIA LICINIO MURENA;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;Ore Diurne;0;0;0;2;12,55554;41,86184;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2796434;10;01/05/2016 15:10;Strada Urbana;VIALE PALMIRO TOGLIATTI;in prossimità;;del civico n.;65/A;;Veicolo in marcia contro ostacolo fisso;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Ore Diurne;1;0;0;0;12,57086;41,85548;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2796445;8;01/05/2016 02:00;Strada Urbana;VIA DI ACQUA BULLICANTE;all'intersezione con;VIA AVERSA;VIA AVERSA;;;Investimento di pedone;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Sufficiente;Sufficiente;1;1;0;0;12,54319;41,88638;-1;;;;Pedone;F;Prognosi riservata;0;NON DECEDUTO;;
2796445;8;01/05/2016 02:00;Strada Urbana;VIA DI ACQUA BULLICANTE;all'intersezione con;VIA AVERSA;VIA AVERSA;;;Investimento di pedone;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Pioggia in atto;Scarso;Sufficiente;Sufficiente;1;1;0;0;12,54319;41,88638;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2796501;11;01/05/2016 07:00;Strada Urbana;VIA APPIA PIGNATELLI;da specificare;;;;alt palo Acea 44 fronte civ. 268;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;2;0;0;0;12,53723;41,84526;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
2796501;11;01/05/2016 07:00;Strada Urbana;VIA APPIA PIGNATELLI;da specificare;;;;alt palo Acea 44 fronte civ. 268;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;2;0;0;0;12,53723;41,84526;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;
2796513;1;01/05/2016 01:35;Strada Urbana;VIA DEL CIRCO MASSIMO;all'intersezione semaforizzata con;VIA DELL'ARA MASSIMA DI ERCOLE;VIA DELL'ARA MASSIMA DI ERCOLE;;;Tamponamento;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;3;12,48204;41,88734;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
2796513;1;01/05/2016 01:35;Strada Urbana;VIA DEL CIRCO MASSIMO;all'intersezione semaforizzata con;VIA DELL'ARA MASSIMA DI ERCOLE;VIA DELL'ARA MASSIMA DI ERCOLE;;;Tamponamento;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;3;12,48204;41,88734;-1;2;Motociclo con passeggero;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
2796513;1;01/05/2016 01:35;Strada Urbana;VIA DEL CIRCO MASSIMO;all'intersezione semaforizzata con;VIA DELL'ARA MASSIMA DI ERCOLE;VIA DELL'ARA MASSIMA DI ERCOLE;;;Tamponamento;Intersezione semaforizzata;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Verticale ed orizzontale;Pioggia in atto;Scarso;Buona;Sufficiente;0;0;0;3;12,48204;41,88734;-1;2;Motociclo con passeggero;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;
