COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
PRT;Portugal;Women;Total;52.882182924099;53.5488826872606;54.1700351288706;54.5912929061414;54.4891501039728;55.2958187892312;55.5445697240559;55.9637928959646;55.8299079915714;55.6480201756876;55.8665597651834;54.6418935027455;54.7012871733207;54.149922161746;53.8209341008462;53.7466109692505;53.5049252778576;928.395786277805
SVK;Slovak Republic;Women;Total;52.6117082704095;53.0041406043521;52.5768654744076;52.8808034534402;52.4890222164254;51.2523751943341;50.669690615773;50.5132643235538;51.0665875312466;50.3086944327879;51.8231433175912;50.1215038453765;50.660332514672;51.0235758430716;51.070794840418;51.9428303319111;52.5187143827739;876.5340471925443
ESP;Spain;Women;Total;41.3341187723821;40.2720782181589;42.7475527772197;44.3734473973633;45.7276941789724;47.0301296311515;48.4538285873741;49.5092068182089;50.9325751629617;52.0104421222481;52.7000609136138;53.3858825538337;53.9822404534064;53.9436264380537;53.6745498037494;53.6984003076542;53.6414413309922;837.417275467344
SWE;Sweden;Women;Total;67.5118858954041;68.2248894504106;68.2375117813384;68.1462957174117;67.9199552544901;68.8202247191011;68.9573967030614;68.3089238119858;68.3285552566195;67.6360421562013;67.0748573733648;67.8512160228898;68.2662494666477;68.658447121826;69.1025610234755;69.467099166786;69.6424608153937;1162.1545717364074
CHE;Switzerland;Women;Total;57.6253898827872;58.8291804720681;59.3019085837095;59.4635561770985;59.1126783838623;59.340190790989;59.7563154329664;59.9357417583973;61.2961593871078;61.5605407691898;59.9821224987322;60.5368994395069;60.8387806302045;61.1436557055593;61.9034824312294;62.2826583826455;62.8366018297317;1025.7458625557854
TUR;Turkey;Women;Total;26.5679330328397;27.1384693061808;27.9094738580986;26.583100077076;23.3349798304108;23.2984929508994;23.5796020892309;23.6106750392465;24.4797710218922;26.0354130253059;27.6150940573694;28.8160451728816;29.49881183841;30.7575005319526;30.257957145829;31.5050715481029;32.4509110504867;463.4393015762129
GBR;United Kingdom;Women;Total;54.8799396555337;54.8668139563967;55.4310728728973;55.2689874805115;55.6528564745891;55.9225561913718;56.6119522277663;56.218804126885;56.5470763970833;56.583605220038;56.638587147658;56.6924411108016;56.8270798833066;57.1622520391436;57.5795436391016;57.6037291935641;57.9712273029703;958.4585249196185
USA;United States;Women;Total;59.9419592810907;59.7883929130408;59.6234865113644;59.5037216518207;59.1619324323156;59.2523860021209;59.3635002410984;59.3065708676219;59.4724717425172;59.1948449032598;58.6216736237934;58.10300081103;57.683817690964;57.2055630722759;56.9731433162505;56.6761757902853;56.802503052503;996.6751439033526
OECD;OECD countries;Women;Total;51.068990777338;51.0728593520755;49.8047121625082;49.8356786315111;50.0440446058611;50.3085430845398;50.6510307838009;50.7855512952954;51.0355576387769;51.1648128948826;51.1519389997396;51.2021417627315;51.3803212863947;51.4941180331407;51.4774338146199;51.5522719525868;51.8757836488438;865.9057907246465
ISR;Israel;Women;Total;53.7352960225248;54.1365472178374;53.665306166291;54.6353278407784;55.0964548630423;55.652766072257;55.890454412479;56.3816852712506;56.3035420722892;57.3725013446452;57.5157697849829;57.1496430075864;58.1259242057149;58.2265202354812;59.1913042741574;59.1182509918926;59.3776956954636;961.574989478674
BRA;Brazil;Women;Total;0;54.1383959110069;55.58063338692;55.8902501413512;56.9599586146947;58.1983195986902;58.0384083250479;57.6885629339897;57.5740533609988;57.8921091322493;0;55.0336391735292;54.88204834059;54.644841814489;56.0916201025845;54.3612150378068;0;786.9740558739483
CHL;Chile;Women;Total;37.8019349529828;36.7528152145514;36.4779555161002;37.8649983765071;39.372078744528;40.2543237567273;41.3705782717353;42.2533399978934;44.3608352059094;44.8708394810354;45.3356405986447;47.3512454565688;47.8024906225514;47.7238665623559;48.4201161252353;48.2437468342965;48.0472671754084;734.3040728930312
CHN;China;Women;Total;70.5667966800642;0;0;0;0;0;0;0;0;0;63.7271604904659;0;0;0;0;0;0;134.2939571705301
IND;India;Women;Total;34.2850874621382;0;0;0;0;37.3562749471929;34.0123117941497;0;31.0126339016186;0;28.966424609048;0;27.2260749168871;0;0;0;0;192.8588076310345
SVN;Slovenia;Women;Total;51.5246169108987;51.6003695375228;51.1498863468862;50.0327662517577;52.4702005630668;52.8952809546736;53.2649783813275;53.3253545905346;53.539427674083;53.6158419975604;53.2548464785164;52.3318868550054;52.2317270586247;51.6008953303278;52.2238688719766;51.8913777507837;51.9653523658079;888.918677919354
ZAF;South Africa;Women;Total;0;52.8952553437777;52.5175330799271;50.4494377456559;48.3099588526995;50.3653926200283;51.8728058863224;50.7807062032824;47.9315623568793;46.2640178492335;44.6323473345791;45.0382018467337;45.2248651286014;46.1764515577576;46.4067279759727;47.6448228674112;47.6337618319203;774.1438484807821
EST;Estonia;Women;Total;58.2881931945934;58.0876352153358;57.4174159036344;58.5872424137134;58.9755933962706;59.7678207186654;61.3738122607581;60.8396529442794;61.9691637304378;62.0623936655081;62.641331009609;63.5917581526296;63.5786568940842;63.9446135547888;63.3918813963752;65.2826466149874;65.981021393081;1045.7808324587515
RUS;Russian Federation;Women;Total;60.0295274869344;58.9181229044804;60.0710011720702;60.0409139491019;60.8292694406701;61.4636127937138;61.9562886594918;62.4109755514296;62.2299699996628;62.5403795947265;62.2450316130356;62.974943177749;63.2813562452088;63.0304266576545;63.3366863786027;63.4398094601022;63.8079697151388;1052.6062847997732
LVA;Latvia;Women;Total;49.4154019912941;50.0607454529977;50.5437904692067;50.8015485262401;51.3235828084877;50.6878472582555;52.2296288730689;53.1158990378536;55.0028166462681;54.5314823334918;53.9194130060359;53.0657804630612;54.3385712266474;54.0376110800858;53.4328221425442;54.1199943073584;54.9881434127887;895.6150790356858
COL;Colombia;Women;Total;0;53.5508249976347;53.7640485232021;54.9206974946354;53.0989755445279;52.155685199817;0;50.130303951917;50.5180331920862;54.0476000422628;56.0190750550946;56.8522929860385;58.2155444550309;57.9858065943056;57.9678473890625;58.603419544183;58.3291385549557;826.1592935247538
