"Tassi generici del movimento anagrafico, anni 2022/2041, scenario mediano, per 1.000 abitanti"
"Anno";"Codice comune";"Comune";"Codice provincia";"Provincia";"Tasso di natalità";"Tasso di mortalità";"Tasso migratorio netto";"Tasso totale di crescita"
2023;"102037";"Serra San Bruno";"102";"Vibo Valentia";8,3;10,4;-5,2;-7,3
2023;"080088";"Siderno";"080";"Reggio di Calabria";7,9;10;1,6;-0,5
2023;"079137";"Soverato";"079";"Catanzaro";5;12,8;1,4;-6,3
2023;"078142";"Spezzano Albanese";"078";"Cosenza";7,7;14,1;0,2;-6,2
2023;"101025";"Strongoli";"101";"Crotone";7,9;10,9;-1,7;-4,7
2023;"080093";"Taurianova";"080";"Reggio di Calabria";8,1;10,8;-3,1;-5,8
2023;"078149";"Tortora";"078";"Cosenza";6;9,6;1,8;-1,8
2023;"078150";"Trebisacce";"078";"Cosenza";6,7;12,8;4,5;-1,7
2023;"102044";"Tropea";"102";"Vibo Valentia";5,9;13,5;-2,8;-10,4
2023;"102047";"Vibo Valentia";"102";"Vibo Valentia";6,4;11,2;-4,6;-9,3
2023;"078154";"Villapiana";"078";"Cosenza";7,6;13,2;8,3;2,7
2023;"080096";"Villa San Giovanni";"080";"Reggio di Calabria";6,4;12,2;-3,6;-9,3
2024;"078003";"Acri";"078";"Cosenza";5,7;13,6;-4,8;-12,7
2024;"078010";"Amantea";"078";"Cosenza";6,7;11,3;5,4;0,8
2024;"080007";"Bagnara Calabra";"080";"Reggio di Calabria";7,7;13,3;-4,8;-10,4
2024;"078015";"Belvedere Marittimo";"078";"Cosenza";5,2;12,9;8,5;0,8
2024;"078017";"Bisignano";"078";"Cosenza";7,6;12,3;0,9;-3,7
2024;"079011";"Borgia";"079";"Catanzaro";7,2;11,2;-4,4;-8,4
2024;"079012";"Botricello";"079";"Catanzaro";7,2;10,2;-1,2;-4,2
2024;"080012";"Bovalino";"080";"Reggio di Calabria";9,9;11,7;2;0,2
2024;"078025";"Cariati";"078";"Cosenza";7;12,3;-3,1;-8,4
2024;"078156";"Casali del Manco";"078";"Cosenza";7;12,5;-3,9;-9,4
2024;"078029";"Cassano all'Ionio";"078";"Cosenza";7,3;12,5;-1,9;-7,1
2024;"078031";"Castrolibero";"078";"Cosenza";5,9;10,8;-4,9;-9,8
2024;"078033";"Castrovillari";"078";"Cosenza";6,2;12,4;-0,4;-6,6
2024;"079023";"Catanzaro";"079";"Catanzaro";6,4;12,2;-3,7;-9,4
2024;"080025";"Caulonia";"080";"Reggio di Calabria";7,4;13,4;8,2;2,2
2024;"078040";"Cetraro";"078";"Cosenza";5,5;13,5;3,2;-4,8
2024;"079029";"Chiaravalle Centrale";"079";"Catanzaro";6,7;15,1;-4,8;-13,2
2024;"080027";"Cinquefrondi";"080";"Reggio di Calabria";8,4;10,2;-2,9;-4,7
2024;"101008";"Cirò Marina";"101";"Crotone";8,5;10,5;-1,4;-3,5
2024;"080028";"Cittanova";"080";"Reggio di Calabria";8,1;11,8;-1,9;-5,5
2024;"078157";"Corigliano-Rossano";"078";"Cosenza";7,9;9,7;1,8;0
2024;"078045";"Cosenza";"078";"Cosenza";6,3;13,7;3,1;-4,4
2024;"101009";"Cotronei";"101";"Crotone";8;13,7;2,9;-2,8
2024;"078047";"Crosia";"078";"Cosenza";7,8;8,9;7,1;5,9
2024;"101010";"Crotone";"101";"Crotone";7,2;10,1;-0,6;-3,4
2024;"079039";"Curinga";"079";"Catanzaro";7,2;11;1,3;-2,5
2024;"101012";"Cutro";"101";"Crotone";7,6;13,7;-7;-13
2024;"079042";"Davoli";"079";"Catanzaro";6,3;10,2;6,4;2,5
2024;"078048";"Diamante";"078";"Cosenza";5,6;13,5;2,3;-5,6
2024;"078058";"Fuscaldo";"078";"Cosenza";7,1;11,1;4,7;0,7
2024;"080038";"Gioia Tauro";"080";"Reggio di Calabria";8,4;9,8;-0,4;-1,7
2024;"080039";"Gioiosa Ionica";"080";"Reggio di Calabria";8,4;10,4;5,8;3,8
2024;"079059";"Girifalco";"079";"Catanzaro";6,7;15,6;-1,5;-10,3
2024;"101013";"Isola di Capo Rizzuto";"101";"Crotone";10,6;7,3;5,9;9,2
2024;"079160";"Lamezia Terme";"079";"Catanzaro";7,6;10,5;-0,5;-3,4
2024;"080043";"Locri";"080";"Reggio di Calabria";7,3;11,8;1;-3,6
2024;"078070";"Luzzi";"078";"Cosenza";6,8;12,7;-1,8;-7,6
2024;"080045";"Marina di Gioiosa Ionica";"080";"Reggio di Calabria";7,6;11,6;-2,2;-6,1
2024;"080050";"Melito di Porto Salvo";"080";"Reggio di Calabria";6,3;12,5;-2,2;-8,5
2024;"078079";"Mendicino";"078";"Cosenza";6,9;9,5;-1,2;-3,7
2024;"101015";"Mesoraca";"101";"Crotone";7,6;13,9;-9,6;-15,9
2024;"102021";"Mileto";"102";"Vibo Valentia";7,9;12,8;-1,9;-6,7
2024;"078081";"Montalto Uffugo";"078";"Cosenza";9,6;8,5;5,1;6,2
2024;"080053";"Montebello Jonico";"080";"Reggio di Calabria";6,6;13,8;1;-6,2
2024;"079081";"Montepaone";"079";"Catanzaro";7,5;8,6;12,1;11,1
2024;"080054";"Motta San Giovanni";"080";"Reggio di Calabria";5,7;14,2;-4,3;-12,7
2024;"102025";"Nicotera";"102";"Vibo Valentia";6,4;12,6;2,1;-4
2024;"080057";"Palmi";"080";"Reggio di Calabria";8,1;10,8;-2,5;-5,3
2024;"078091";"Paola";"078";"Cosenza";6,2;12,8;-2,4;-9
2024;"101017";"Petilia Policastro";"101";"Crotone";7,9;11,7;-4,1;-7,8
2024;"102027";"Pizzo";"102";"Vibo Valentia";5,8;11;3,3;-1,9
2024;"080061";"Polistena";"080";"Reggio di Calabria";7,7;10,3;-2,4;-5
2024;"078101";"Praia a Mare";"078";"Cosenza";5,6;12,2;0,6;-6
2024;"080063";"Reggio di Calabria";"080";"Reggio di Calabria";6,6;12,3;-2,1;-7,9
2024;"078102";"Rende";"078";"Cosenza";7,2;9,2;10,5;8,5
2024;"080065";"Rizziconi";"080";"Reggio di Calabria";7,9;10,5;-1,2;-3,8
2024;"101019";"Rocca di Neto";"101";"Crotone";9,2;11;-3,5;-5,2
2024;"080067";"Roccella Ionica";"080";"Reggio di Calabria";6;14,3;-0,5;-8,8
2024;"078104";"Roggiano Gravina";"078";"Cosenza";6,9;12,8;2,2;-3,8
2024;"078105";"Rogliano";"078";"Cosenza";5,7;12,9;-2,3;-9,5
2024;"080069";"Rosarno";"080";"Reggio di Calabria";9,4;9,9;6,2;5,7
2024;"078119";"San Giovanni in Fiore";"078";"Cosenza";6,5;12,5;-6;-12
2024;"078122";"San Lucido";"078";"Cosenza";7;10,8;23,9;20,2
2024;"078123";"San Marco Argentano";"078";"Cosenza";6,1;12,7;10,8;4,1
2024;"078138";"Scalea";"078";"Cosenza";6,4;9,9;12,1;8,6
2024;"079127";"Sellia Marina";"079";"Catanzaro";8,3;9,3;5,7;4,7
2024;"102037";"Serra San Bruno";"102";"Vibo Valentia";8,1;10,4;-5,3;-7,6
2024;"080088";"Siderno";"080";"Reggio di Calabria";7,7;10;1,3;-1
2024;"079137";"Soverato";"079";"Catanzaro";4,9;13;1,3;-6,7
2024;"078142";"Spezzano Albanese";"078";"Cosenza";7,5;14;0;-6,5
2024;"101025";"Strongoli";"101";"Crotone";7,7;11,1;-1,8;-5,2
2024;"080093";"Taurianova";"080";"Reggio di Calabria";7,9;10,8;-3,2;-6,1
2024;"078149";"Tortora";"078";"Cosenza";5,8;9,8;1,7;-2,3
2024;"078150";"Trebisacce";"078";"Cosenza";6,5;12,8;4,2;-2,1
2024;"102044";"Tropea";"102";"Vibo Valentia";5,8;13,6;-2,9;-10,7
2024;"102047";"Vibo Valentia";"102";"Vibo Valentia";6,3;11,3;-4,6;-9,6
2024;"078154";"Villapiana";"078";"Cosenza";7,4;13,1;7,8;2,1
2024;"080096";"Villa San Giovanni";"080";"Reggio di Calabria";6,2;12,2;-3,7;-9,7
2025;"078003";"Acri";"078";"Cosenza";5,6;13,7;-5;-13
2025;"078010";"Amantea";"078";"Cosenza";6,6;11,2;4,9;0,3
2025;"080007";"Bagnara Calabra";"080";"Reggio di Calabria";7,5;13,3;-5;-10,8
2025;"078015";"Belvedere Marittimo";"078";"Cosenza";5,1;12,9;8;0,2
2025;"078017";"Bisignano";"078";"Cosenza";7,5;12,3;0,6;-4,2
2025;"079011";"Borgia";"079";"Catanzaro";7,1;11,3;-4,5;-8,7
2025;"079012";"Botricello";"079";"Catanzaro";6,9;10,2;-1,3;-4,7
2025;"080012";"Bovalino";"080";"Reggio di Calabria";9,7;11,6;1,8;-0,2
2025;"078025";"Cariati";"078";"Cosenza";6,9;12,5;-3,5;-9,1
2025;"078156";"Casali del Manco";"078";"Cosenza";6,9;12,5;-3,9;-9,5
2025;"078029";"Cassano all'Ionio";"078";"Cosenza";7,1;12,5;-2,2;-7,5
2025;"078031";"Castrolibero";"078";"Cosenza";5,7;11,1;-4,8;-10,2
2025;"078033";"Castrovillari";"078";"Cosenza";6,1;12,5;-0,5;-6,9
2025;"079023";"Catanzaro";"079";"Catanzaro";6,3;12,3;-3,7;-9,6
2025;"080025";"Caulonia";"080";"Reggio di Calabria";7,3;13,2;7,5;1,6
2025;"078040";"Cetraro";"078";"Cosenza";5,3;13,5;2,9;-5,3
2025;"079029";"Chiaravalle Centrale";"079";"Catanzaro";6,5;15,1;-5;-13,5
2025;"080027";"Cinquefrondi";"080";"Reggio di Calabria";8,2;10,2;-3,1;-5,1
2025;"101008";"Cirò Marina";"101";"Crotone";8,3;10,6;-1,6;-3,9
2025;"080028";"Cittanova";"080";"Reggio di Calabria";7,9;11,7;-2,1;-5,9
2025;"078157";"Corigliano-Rossano";"078";"Cosenza";7,7;9,7;1,4;-0,6
2025;"078045";"Cosenza";"078";"Cosenza";6,2;13,6;2,8;-4,6
2025;"101009";"Cotronei";"101";"Crotone";7,9;13,5;2,6;-3
2025;"078047";"Crosia";"078";"Cosenza";7,6;9;6,4;5
2025;"101010";"Crotone";"101";"Crotone";7,1;10,2;-0,9;-4
2025;"079039";"Curinga";"079";"Catanzaro";7,2;11,1;1;-2,9
2025;"101012";"Cutro";"101";"Crotone";7,4;13,9;-7;-13,5
2025;"079042";"Davoli";"079";"Catanzaro";6,1;10,3;6;1,8
2025;"078048";"Diamante";"078";"Cosenza";5,5;13,5;2,2;-5,8
2025;"078058";"Fuscaldo";"078";"Cosenza";6,9;11,2;4;-0,2
2025;"080038";"Gioia Tauro";"080";"Reggio di Calabria";8,3;9,8;-0,6;-2,1
2025;"080039";"Gioiosa Ionica";"080";"Reggio di Calabria";8,3;10,4;5,2;3,2
2025;"079059";"Girifalco";"079";"Catanzaro";6,6;15,4;-1,6;-10,5
2025;"101013";"Isola di Capo Rizzuto";"101";"Crotone";10,6;7,4;5,4;8,5
2025;"079160";"Lamezia Terme";"079";"Catanzaro";7,4;10,5;-0,8;-4
2025;"080043";"Locri";"080";"Reggio di Calabria";7,1;11,9;0,8;-4
2025;"078070";"Luzzi";"078";"Cosenza";6,7;12,7;-1,8;-7,9
2025;"080045";"Marina di Gioiosa Ionica";"080";"Reggio di Calabria";7,4;11,6;-2,3;-6,5
2025;"080050";"Melito di Porto Salvo";"080";"Reggio di Calabria";6,1;12,5;-2,4;-8,9
2025;"078079";"Mendicino";"078";"Cosenza";6,8;9,6;-1,5;-4,3
2025;"101015";"Mesoraca";"101";"Crotone";7,4;13,8;-9,7;-16,1
2025;"102021";"Mileto";"102";"Vibo Valentia";7,8;12,8;-2;-6,9
2025;"078081";"Montalto Uffugo";"078";"Cosenza";9,2;8,5;4,5;5,2
2025;"080053";"Montebello Jonico";"080";"Reggio di Calabria";6,5;13,8;0,6;-6,6
2025;"079081";"Montepaone";"079";"Catanzaro";7,3;8,7;11,2;9,8
2025;"080054";"Motta San Giovanni";"080";"Reggio di Calabria";5,6;14,2;-4,3;-12,9
2025;"102025";"Nicotera";"102";"Vibo Valentia";6,4;12,6;1,8;-4,4
2025;"080057";"Palmi";"080";"Reggio di Calabria";7,8;10,8;-2,6;-5,6
2025;"078091";"Paola";"078";"Cosenza";6;12,8;-2,5;-9,3
2025;"101017";"Petilia Policastro";"101";"Crotone";7,7;11,7;-4,1;-8
2025;"102027";"Pizzo";"102";"Vibo Valentia";5,7;11,1;2,9;-2,5
2025;"080061";"Polistena";"080";"Reggio di Calabria";7,5;10,3;-2,5;-5,3
2025;"078101";"Praia a Mare";"078";"Cosenza";5,5;12,4;0,5;-6,4
2025;"080063";"Reggio di Calabria";"080";"Reggio di Calabria";6,4;12,4;-2,3;-8,3
2025;"078102";"Rende";"078";"Cosenza";7;9,3;9,7;7,4
2025;"080065";"Rizziconi";"080";"Reggio di Calabria";7,8;10,4;-1,4;-4
2025;"101019";"Rocca di Neto";"101";"Crotone";9,1;11,1;-3,7;-5,7
2025;"080067";"Roccella Ionica";"080";"Reggio di Calabria";5,9;14,3;-0,6;-9,1
2025;"078104";"Roggiano Gravina";"078";"Cosenza";6,8;12,8;1,6;-4,3
2025;"078105";"Rogliano";"078";"Cosenza";5,6;12,9;-2,6;-9,9
2025;"080069";"Rosarno";"080";"Reggio di Calabria";9,3;9,8;5,4;4,9
2025;"078119";"San Giovanni in Fiore";"078";"Cosenza";6,3;12,6;-6,1;-12,3
2025;"078122";"San Lucido";"078";"Cosenza";7;10,6;22;18,4
2025;"078123";"San Marco Argentano";"078";"Cosenza";6;12,5;9,3;2,8
2025;"078138";"Scalea";"078";"Cosenza";6,2;10;11,5;7,8
2025;"079127";"Sellia Marina";"079";"Catanzaro";8,1;9,4;5,1;3,8
2025;"102037";"Serra San Bruno";"102";"Vibo Valentia";7,9;10,5;-5,3;-7,9
2025;"080088";"Siderno";"080";"Reggio di Calabria";7,6;10,1;1,1;-1,3
2025;"079137";"Soverato";"079";"Catanzaro";4,8;13,1;1,2;-7,1
2025;"078142";"Spezzano Albanese";"078";"Cosenza";7,3;13,9;-0,3;-6,9
2025;"101025";"Strongoli";"101";"Crotone";7,5;11,2;-2;-5,6
2025;"080093";"Taurianova";"080";"Reggio di Calabria";7,7;10,9;-3,2;-6,4
2025;"078149";"Tortora";"078";"Cosenza";5,7;10,1;1,6;-2,8
2025;"078150";"Trebisacce";"078";"Cosenza";6,4;12,8;3,9;-2,5
2025;"102044";"Tropea";"102";"Vibo Valentia";5,6;13,7;-3;-11
2025;"102047";"Vibo Valentia";"102";"Vibo Valentia";6,2;11,4;-4,6;-9,9
2025;"078154";"Villapiana";"078";"Cosenza";7,3;13,1;7,2;1,4
2025;"080096";"Villa San Giovanni";"080";"Reggio di Calabria";6;12,3;-3,9;-10,1
