ags,ac,al,dv
09189161,4,60 bis 74,1.7
09189129,5,75 und älter,5.3
09189146,3,40 bis 59,1.2
09189126,3,40 bis 59,3.6
09189133,1,unter 18,1.2
09189137,1,unter 18,3.0
09189150,1,unter 18,2.6
09189162,3,40 bis 59,0.7
09189165,1,unter 18,4.4
09190115,1,unter 18,2.3
09190130,4,60 bis 74,4.9
09190138,3,40 bis 59,2.8
09190139,1,unter 18,1.1
09190140,5,75 und älter,1.2
09190141,1,unter 18,0.7
09190142,1,unter 18,1.7
09190144,3,40 bis 59,1.8
09190148,1,unter 18,1.6
09190157,5,75 und älter,1.9
09190158,1,unter 18,4.4
09190159,1,unter 18,2.1
09190111,4,60 bis 74,0.7
09190129,1,unter 18,4.0
09190133,1,unter 18,3.7
09190149,1,unter 18,3.7
09190151,1,unter 18,3.7
09190114,4,60 bis 74,2.3
09190118,1,unter 18,1.6
09190113,1,unter 18,5.0
09190126,1,unter 18,4.2
09190136,1,unter 18,3.6
09190153,4,60 bis 74,1.2
09190120,1,unter 18,3.0
09190121,3,40 bis 59,3.9
09190131,1,unter 18,3.4
09190135,4,60 bis 74,1.7
09190117,1,unter 18,3.2
09190145,2,19 bis 39,2.1
09190132,1,unter 18,2.5
09190152,5,75 und älter,7.3
09190143,5,75 und älter,1.6
09190154,1,unter 18,2.2
09190160,1,unter 18,5.1
09261000,2,19 bis 39,2.6
09262000,2,19 bis 39,7.3
09263000,2,19 bis 39,2.1
09271111,3,40 bis 59,3.5
09271113,3,40 bis 59,2.1
09271116,4,60 bis 74,2.2
09271119,2,19 bis 39,5.5
09271122,3,40 bis 59,2.5
09271125,1,unter 18,1.3
09271127,1,unter 18,1.9
09271128,3,40 bis 59,2.1
09271132,4,60 bis 74,1.3
09271138,1,unter 18,3.4
09271140,4,60 bis 74,2.4
09271141,4,60 bis 74,2.1
09271146,3,40 bis 59,0.8
09271151,3,40 bis 59,3.0
09271153,3,40 bis 59,3.2
09271123,4,60 bis 74,2.7
09271126,4,60 bis 74,4.3
09271130,4,60 bis 74,3.1
09271148,3,40 bis 59,1.6
09271139,1,unter 18,0.5
09271143,3,40 bis 59,3.4
09271152,4,60 bis 74,3.4
09271118,4,60 bis 74,2.2
09271135,3,40 bis 59,2.6
09271114,3,40 bis 59,3.8
09271149,4,60 bis 74,1.9
09272118,4,60 bis 74,5.0
09272120,4,60 bis 74,4.0
09272121,1,unter 18,2.4
09272122,4,60 bis 74,4.2
09272127,4,60 bis 74,3.7
09272129,4,60 bis 74,1.9
09272134,4,60 bis 74,7.6
09272136,4,60 bis 74,3.3
09272140,4,60 bis 74,4.3
09272141,3,40 bis 59,1.9
09272142,4,60 bis 74,4.3
09272143,4,60 bis 74,5.9
09272146,4,60 bis 74,3.2
09272149,4,60 bis 74,7.0
09272151,3,40 bis 59,1.9
09272116,4,60 bis 74,4.1
09272128,4,60 bis 74,3.4
09272145,4,60 bis 74,5.4
09272147,4,60 bis 74,3.9
09272126,4,60 bis 74,1.8
09272139,4,60 bis 74,7.2
09272150,4,60 bis 74,2.4
09272152,4,60 bis 74,4.4
09272119,3,40 bis 59,4.0
09272138,4,60 bis 74,2.1
09273111,2,19 bis 39,3.4
09273116,3,40 bis 59,3.3
09273137,4,60 bis 74,0.4
09273147,1,unter 18,3.0
09273152,2,19 bis 39,2.0
09273159,3,40 bis 59,2.8
09273164,1,unter 18,2.2
09273165,3,40 bis 59,0.9
09273121,1,unter 18,1.7
09273133,4,60 bis 74,2.9
09273166,4,60 bis 74,1.3
09273175,1,unter 18,4.5
09273125,1,unter 18,4.1
09273127,1,unter 18,3.2
09273141,3,40 bis 59,3.2
09273119,3,40 bis 59,2.1
09273139,1,unter 18,2.3
09273172,1,unter 18,4.3
09273177,3,40 bis 59,3.9
09273181,3,40 bis 59,4.0
09273113,3,40 bis 59,2.3
09273115,3,40 bis 59,1.5
09273163,3,40 bis 59,2.1
09273178,3,40 bis 59,3.8
09274111,2,19 bis 39,1.7
09274113,3,40 bis 59,1.0
09274120,3,40 bis 59,1.7
09274121,3,40 bis 59,2.7
09274124,3,40 bis 59,4.1
09274126,3,40 bis 59,1.2
09274128,3,40 bis 59,2.8
09274134,1,unter 18,2.7
09274141,3,40 bis 59,4.3
09274146,3,40 bis 59,4.4
09274153,1,unter 18,2.4
09274156,3,40 bis 59,3.7
09274172,3,40 bis 59,1.1
09274176,1,unter 18,2.2
09274182,3,40 bis 59,3.6
09274184,1,unter 18,1.9
09274185,3,40 bis 59,3.9
09274194,3,40 bis 59,2.6
09274119,1,unter 18,3.5
09274127,1,unter 18,2.1
09274132,3,40 bis 59,2.9
09274165,1,unter 18,4.6
09274187,3,40 bis 59,2.6
09274174,4,60 bis 74,2.4
09274188,3,40 bis 59,3.6
09274191,2,19 bis 39,3.2
09274112,4,60 bis 74,2.8
09274135,4,60 bis 74,1.3
09274145,3,40 bis 59,2.5
09274179,1,unter 18,4.8
09274114,1,unter 18,3.8
09274118,3,40 bis 59,4.9
09274154,1,unter 18,4.1
09274183,3,40 bis 59,2.5
09274193,1,unter 18,3.5
09275111,4,60 bis 74,2.0
09275114,4,60 bis 74,2.3
09275116,4,60 bis 74,10.5
09275118,3,40 bis 59,2.6
09275119,4,60 bis 74,1.5
09275120,3,40 bis 59,1.4
09275121,4,60 bis 74,2.1
09275122,4,60 bis 74,1.8
09275124,4,60 bis 74,3.2
09275125,4,60 bis 74,3.0
09275126,4,60 bis 74,1.4
09275127,4,60 bis 74,1.7
09275128,4,60 bis 74,0.8
09275130,4,60 bis 74,7.5
09275131,4,60 bis 74,4.4
09275133,3,40 bis 59,2.8
09275134,4,60 bis 74,2.8
