ags,ac,al,dv
06431022,3,40 bis 59,3.2
06432001,4,60 bis 74,2.9
06432002,3,40 bis 59,1.2
06432003,3,40 bis 59,2.8
06432004,3,40 bis 59,1.0
06432005,3,40 bis 59,0.8
06432006,3,40 bis 59,2.1
06432007,3,40 bis 59,2.6
06432008,3,40 bis 59,2.5
06432009,4,60 bis 74,1.0
06432010,3,40 bis 59,2.6
06432011,1,unter 18,1.7
06432012,3,40 bis 59,1.2
06432013,3,40 bis 59,3.1
06432014,3,40 bis 59,2.2
06432015,4,60 bis 74,0.8
06432016,3,40 bis 59,1.5
06432017,4,60 bis 74,2.7
06432018,1,unter 18,1.1
06432019,4,60 bis 74,1.6
06432020,1,unter 18,1.6
06432021,3,40 bis 59,3.7
06432022,5,75 und älter,3.1
06432023,1,unter 18,1.9
06433001,3,40 bis 59,2.2
06433002,1,unter 18,0.8
06433003,3,40 bis 59,2.4
06433004,3,40 bis 59,2.1
06433005,1,unter 18,1.3
06433006,1,unter 18,1.6
06433007,2,19 bis 39,3.6
06433008,3,40 bis 59,2.2
06433009,5,75 und älter,1.6
06433010,1,unter 18,4.1
06433011,1,unter 18,2.2
06433012,1,unter 18,2.6
06433013,1,unter 18,1.0
06433014,3,40 bis 59,4.2
06434001,5,75 und älter,2.3
06434002,3,40 bis 59,2.4
06434003,3,40 bis 59,4.0
06434004,3,40 bis 59,2.6
06434005,1,unter 18,3.8
06434006,5,75 und älter,8.3
06434007,4,60 bis 74,2.5
06434008,3,40 bis 59,3.2
06434009,3,40 bis 59,5.3
06434010,1,unter 18,2.4
06434011,1,unter 18,2.1
06434012,3,40 bis 59,4.0
06434013,3,40 bis 59,2.7
06435001,5,75 und älter,6.1
06435002,4,60 bis 74,1.7
06435003,4,60 bis 74,3.4
06435004,4,60 bis 74,4.6
06435005,4,60 bis 74,4.3
06435006,5,75 und älter,2.1
06435007,1,unter 18,2.9
06435008,4,60 bis 74,5.0
06435009,4,60 bis 74,2.4
06435010,4,60 bis 74,0.7
06435011,3,40 bis 59,1.8
06435012,4,60 bis 74,1.9
06435013,3,40 bis 59,1.6
06435014,2,19 bis 39,1.8
06435015,4,60 bis 74,2.8
06435016,4,60 bis 74,5.3
06435017,3,40 bis 59,2.2
06435018,3,40 bis 59,2.8
06435019,1,unter 18,0.9
06435020,3,40 bis 59,2.1
06435021,3,40 bis 59,2.6
06435022,3,40 bis 59,5.0
06435023,5,75 und älter,3.5
06435024,4,60 bis 74,3.7
06435025,4,60 bis 74,1.7
06435026,3,40 bis 59,3.2
06435027,4,60 bis 74,3.4
06435028,4,60 bis 74,2.2
06435029,4,60 bis 74,0.6
06436001,3,40 bis 59,3.7
06436002,1,unter 18,2.7
06436003,1,unter 18,2.4
06436004,3,40 bis 59,1.7
06436005,3,40 bis 59,2.1
06436006,5,75 und älter,1.1
06436007,3,40 bis 59,3.4
06436008,3,40 bis 59,3.3
06436009,3,40 bis 59,1.7
06436010,3,40 bis 59,3.8
06436011,1,unter 18,2.6
06436012,3,40 bis 59,3.2
06437001,4,60 bis 74,2.7
06437003,4,60 bis 74,4.2
06437004,1,unter 18,2.6
06437005,4,60 bis 74,4.5
06437006,4,60 bis 74,1.7
06437007,4,60 bis 74,5.9
06437009,4,60 bis 74,1.7
06437010,4,60 bis 74,2.0
06437011,4,60 bis 74,2.2
06437012,4,60 bis 74,4.7
06437013,4,60 bis 74,3.8
06437016,4,60 bis 74,3.9
06438001,1,unter 18,4.8
06438002,3,40 bis 59,1.9
06438003,3,40 bis 59,2.4
06438004,4,60 bis 74,1.9
06438005,5,75 und älter,2.5
06438006,1,unter 18,1.6
06438007,3,40 bis 59,3.0
06438008,1,unter 18,0.8
06438009,2,19 bis 39,1.4
06438010,2,19 bis 39,0.2
06438011,3,40 bis 59,1.3
06438012,3,40 bis 59,1.7
06438013,3,40 bis 59,2.1
06439001,4,60 bis 74,1.8
06439002,1,unter 18,0.7
06439003,3,40 bis 59,2.5
06439004,5,75 und älter,1.7
06439005,4,60 bis 74,4.0
06439006,4,60 bis 74,2.8
06439007,3,40 bis 59,4.4
06439008,3,40 bis 59,1.9
06439009,3,40 bis 59,3.9
06439010,4,60 bis 74,3.3
06439011,4,60 bis 74,2.7
06439012,3,40 bis 59,1.9
06439013,3,40 bis 59,2.1
06439014,5,75 und älter,2.8
06439015,1,unter 18,2.2
06439016,4,60 bis 74,3.2
06439017,5,75 und älter,4.0
06440001,1,unter 18,1.4
06440002,5,75 und älter,3.4
06440003,3,40 bis 59,3.4
06440004,3,40 bis 59,1.3
06440005,3,40 bis 59,1.2
06440006,3,40 bis 59,1.1
06440007,4,60 bis 74,2.1
06440008,2,19 bis 39,2.2
06440009,4,60 bis 74,3.5
06440010,4,60 bis 74,2.2
06440011,3,40 bis 59,3.0
06440012,3,40 bis 59,2.1
06440013,4,60 bis 74,3.3
06440014,1,unter 18,1.9
06440015,4,60 bis 74,1.9
06440016,4,60 bis 74,2.4
06440017,3,40 bis 59,2.7
06440018,3,40 bis 59,2.5
06440019,4,60 bis 74,2.9
06440020,4,60 bis 74,2.4
06440021,4,60 bis 74,1.7
06440022,3,40 bis 59,1.3
06440023,3,40 bis 59,3.0
06440024,3,40 bis 59,3.3
06440025,3,40 bis 59,1.9
06531001,4,60 bis 74,3.5
06531002,4,60 bis 74,2.7
06531003,4,60 bis 74,2.0
06531004,1,unter 18,1.1
06531005,2,19 bis 39,18.2
06531006,4,60 bis 74,3.0
06531007,2,19 bis 39,1.3
06531008,4,60 bis 74,3.0
06531009,4,60 bis 74,2.0
06531010,4,60 bis 74,3.6
06531011,4,60 bis 74,1.1
06531012,2,19 bis 39,2.9
06531013,1,unter 18,1.9
06531014,1,unter 18,1.8
06531015,4,60 bis 74,3.5
06531016,4,60 bis 74,2.2
06531017,4,60 bis 74,1.8
06531018,4,60 bis 74,1.7
06532001,1,unter 18,1.6
06532002,4,60 bis 74,2.5
06532003,4,60 bis 74,3.3
06532004,4,60 bis 74,0.9
06532005,5,75 und älter,1.1
06532006,1,unter 18,1.6
06532007,4,60 bis 74,1.5
06532008,3,40 bis 59,1.1
06532009,1,unter 18,1.6
06532010,4,60 bis 74,3.5
06532011,3,40 bis 59,0.7
06532012,4,60 bis 74,1.4
06532013,4,60 bis 74,3.8
06532014,1,unter 18,1.6
06532015,4,60 bis 74,1.9
06532016,4,60 bis 74,2.1
06532017,3,40 bis 59,2.4
06532018,4,60 bis 74,2.7
06532019,4,60 bis 74,5.1
06532020,4,60 bis 74,0.9
06532021,4,60 bis 74,1.3
06532022,4,60 bis 74,5.1
06532023,1,unter 18,0.6
06533001,1,unter 18,2.9
06533002,4,60 bis 74,1.8
06533003,4,60 bis 74,1.9
06533004,3,40 bis 59,1.2
06533005,3,40 bis 59,3.0
06533006,1,unter 18,1.0
06533007,1,unter 18,1.8
06533008,4,60 bis 74,2.8
06533009,2,19 bis 39,0.4
06533010,1,unter 18,1.4
06533011,3,40 bis 59,2.6
06533012,4,60 bis 74,2.4
06533013,4,60 bis 74,2.4
06533014,3,40 bis 59,1.4
06533015,4,60 bis 74,3.9
06533016,1,unter 18,2.2
06533017,4,60 bis 74,1.6
06533018,4,60 bis 74,3.2
06533019,4,60 bis 74,3.6
06534001,3,40 bis 59,2.9
06534002,3,40 bis 59,3.8
06534003,3,40 bis 59,0.8
06534004,5,75 und älter,1.6
06534005,1,unter 18,3.8
06534006,4,60 bis 74,1.4
06534007,3,40 bis 59,1.3
06534008,4,60 bis 74,2.1
06534009,4,60 bis 74,3.6
06534010,4,60 bis 74,0.9
06534011,4,60 bis 74,0.8
06534012,3,40 bis 59,1.8
06534013,4,60 bis 74,2.7
06534014,2,19 bis 39,15.6
06534015,4,60 bis 74,4.1
06534016,1,unter 18,1.4
06534017,3,40 bis 59,2.0
06534018,3,40 bis 59,1.5
06534019,4,60 bis 74,1.3
06534020,3,40 bis 59,1.8
06534021,4,60 bis 74,3.0
06534022,4,60 bis 74,5.5
06535001,4,60 bis 74,3.2
06535002,4,60 bis 74,4.2
06535003,4,60 bis 74,6.0
06535004,4,60 bis 74,6.4
06535005,4,60 bis 74,5.3
06535006,4,60 bis 74,6.7
06535007,4,60 bis 74,6.5
06535008,4,60 bis 74,4.6
06535009,4,60 bis 74,3.7
06535010,4,60 bis 74,4.9
06535011,5,75 und älter,2.4
06535012,4,60 bis 74,7.0
06535013,4,60 bis 74,4.3
06535014,4,60 bis 74,3.8
06535015,4,60 bis 74,3.4
06535016,4,60 bis 74,5.7
06535017,4,60 bis 74,6.1
06535018,4,60 bis 74,6.8
06535019,4,60 bis 74,2.8
06611000,2,19 bis 39,5.7
06631001,5,75 und älter,3.5
06631002,3,40 bis 59,2.6
06631003,3,40 bis 59,2.0
06631004,1,unter 18,2.3
06631005,5,75 und älter,0.6
06631006,3,40 bis 59,2.1
06631007,3,40 bis 59,1.6
06631008,4,60 bis 74,1.3
06631009,2,19 bis 39,3.7
06631010,4,60 bis 74,2.6
06631011,4,60 bis 74,1.5
06631012,5,75 und älter,1.3
06631013,3,40 bis 59,0.7
06631014,3,40 bis 59,2.4
06631015,4,60 bis 74,0.5
06631016,1,unter 18,0.6
06631017,5,75 und älter,0.7
06631018,4,60 bis 74,0.6
06631019,1,unter 18,1.7
06631020,5,75 und älter,0.8
06631021,3,40 bis 59,2.5
06631022,3,40 bis 59,2.7
06631023,4,60 bis 74,2.9
06632001,1,unter 18,3.0
06632002,5,75 und älter,1.2
06632003,5,75 und älter,1.5
06632004,4,60 bis 74,5.3
06632005,4,60 bis 74,2.8
06632006,5,75 und älter,1.9
06632007,4,60 bis 74,3.9
06632008,4,60 bis 74,4.2
06632009,4,60 bis 74,3.8
06632010,4,60 bis 74,4.1
06632011,4,60 bis 74,1.8
06632012,4,60 bis 74,3.0
06632013,5,75 und älter,4.1
06632014,3,40 bis 59,2.7
06632015,5,75 und älter,1.7
06632016,4,60 bis 74,3.3
06632017,4,60 bis 74,2.5
06632018,4,60 bis 74,2.3
06632019,4,60 bis 74,3.9
06632020,4,60 bis 74,3.1
06633001,5,75 und älter,3.9
06633002,4,60 bis 74,3.1
06633003,5,75 und älter,1.8
06633004,3,40 bis 59,2.6
06633005,4,60 bis 74,3.2
06633006,4,60 bis 74,3.4
06633007,4,60 bis 74,1.8
06633008,5,75 und älter,4.4
06633009,5,75 und älter,2.7
06633010,4,60 bis 74,2.7
06633011,4,60 bis 74,2.1
06633012,5,75 und älter,4.6
06633013,4,60 bis 74,3.0
06633014,4,60 bis 74,3.1
06633015,4,60 bis 74,2.3
06633016,4,60 bis 74,4.2
06633017,5,75 und älter,1.1
06633018,4,60 bis 74,3.0
06633019,3,40 bis 59,5.2
06633020,5,75 und älter,1.4
06633022,4,60 bis 74,5.7
06633023,4,60 bis 74,1.2
06633024,4,60 bis 74,3.7
06633025,4,60 bis 74,4.9
06633026,5,75 und älter,3.4
06633028,1,unter 18,0.7
06633029,4,60 bis 74,3.1
06633030,4,60 bis 74,5.2
06634001,4,60 bis 74,2.6
06634002,3,40 bis 59,1.5
06634003,4,60 bis 74,1.7
06634004,4,60 bis 74,4.1
06634005,4,60 bis 74,2.9
06634006,3,40 bis 59,3.4
06634007,3,40 bis 59,1.9
06634008,4,60 bis 74,2.4
06634009,1,unter 18,2.0
06634010,4,60 bis 74,5.7
06634011,4,60 bis 74,4.5
06634012,3,40 bis 59,2.1
06634013,3,40 bis 59,3.1
06634014,5,75 und älter,1.4
06634015,4,60 bis 74,3.3
06634016,4,60 bis 74,3.7
06634017,4,60 bis 74,3.3
06634018,4,60 bis 74,1.3
06634019,4,60 bis 74,5.7
06634020,4,60 bis 74,3.0
06634021,4,60 bis 74,4.4
06634022,4,60 bis 74,2.1
06634023,4,60 bis 74,2.0
06634024,4,60 bis 74,2.6
06634025,4,60 bis 74,1.8
06634026,4,60 bis 74,3.4
06634027,4,60 bis 74,4.1
06635001,1,unter 18,1.9
06635002,4,60 bis 74,1.5
06635003,4,60 bis 74,1.7
06635004,4,60 bis 74,2.7
06635005,3,40 bis 59,1.5
06635006,1,unter 18,1.8
06635007,4,60 bis 74,2.8
06635008,4,60 bis 74,1.3
06635009,4,60 bis 74,4.4
06635010,4,60 bis 74,3.5
06635011,4,60 bis 74,1.3
06635012,4,60 bis 74,3.0
06635013,4,60 bis 74,3.8
06635014,4,60 bis 74,4.2
06635015,4,60 bis 74,1.8
06635016,1,unter 18,1.3
06635017,4,60 bis 74,2.0
06635018,4,60 bis 74,3.8
06635019,4,60 bis 74,4.4
06635020,3,40 bis 59,1.8
06635021,4,60 bis 74,3.3
06635022,3,40 bis 59,1.9
06636001,5,75 und älter,4.1
06636002,4,60 bis 74,6.3
06636003,4,60 bis 74,2.7
06636004,4,60 bis 74,4.1
06636005,4,60 bis 74,3.7
06636006,4,60 bis 74,2.2
06636007,4,60 bis 74,6.1
06636008,4,60 bis 74,4.9
06636009,5,75 und älter,3.1
06636010,4,60 bis 74,6.5
06636011,4,60 bis 74,3.5
06636012,4,60 bis 74,3.9
06636013,4,60 bis 74,5.5
06636014,4,60 bis 74,4.2
06636015,4,60 bis 74,4.4
06636016,4,60 bis 74,2.2
07111000,2,19 bis 39,5.6
07131007,5,75 und älter,7.3
07131070,5,75 und älter,0.8
07131077,4,60 bis 74,1.6
07131090,4,60 bis 74,3.1
07131001,5,75 und älter,1.9
07131004,4,60 bis 74,5.8
07131005,4,60 bis 74,22.3
07131008,4,60 bis 74,4.2
07131018,5,75 und älter,11.1
07131028,5,75 und älter,5.5
07131030,4,60 bis 74,7.5
07131033,4,60 bis 74,7.3
07131034,3,40 bis 59,2.4
07131037,4,60 bis 74,5.9
07131044,4,60 bis 74,7.2
07131051,1,unter 18,1.6
07131052,5,75 und älter,7.5
07131058,3,40 bis 59,10.6
07131062,4,60 bis 74,9.6
07131065,4,60 bis 74,3.9
07131069,4,60 bis 74,4.7
07131072,4,60 bis 74,2.2
07131074,4,60 bis 74,8.6
07131082,4,60 bis 74,3.9
07131083,2,19 bis 39,5.1
07131084,4,60 bis 74,6.9
07131085,4,60 bis 74,8.1
07131501,4,60 bis 74,6.7
07131002,4,60 bis 74,2.8
07131003,3,40 bis 59,1.9
07131011,4,60 bis 74,3.9
07131017,4,60 bis 74,7.3
07131027,3,40 bis 59,4.8
07131029,4,60 bis 74,4.4
07131036,1,unter 18,3.4
07131039,3,40 bis 59,4.0
07131040,4,60 bis 74,9.6
07131047,4,60 bis 74,6.4
07131049,4,60 bis 74,5.8
07131068,4,60 bis 74,3.0
07131006,5,75 und älter,2.4
07131014,4,60 bis 74,1.9
07131025,1,unter 18,3.2
07131081,3,40 bis 59,2.4
07131016,4,60 bis 74,6.2
07131041,4,60 bis 74,4.2
07131054,4,60 bis 74,5.4
07131055,4,60 bis 74,1.2
07131059,4,60 bis 74,6.4
07131060,4,60 bis 74,2.2
07131073,4,60 bis 74,4.4
07131201,3,40 bis 59,8.9
07131202,1,unter 18,1.6
07131204,3,40 bis 59,4.7
07131205,3,40 bis 59,2.3
07131206,3,40 bis 59,3.7
07131208,3,40 bis 59,2.9
07131209,3,40 bis 59,2.7
07131210,4,60 bis 74,2.5
07131211,4,60 bis 74,3.0
07131502,4,60 bis 74,2.0
07132018,4,60 bis 74,1.0
07132019,3,40 bis 59,1.6
07132026,4,60 bis 74,5.9
07132036,1,unter 18,1.6
07132050,4,60 bis 74,1.8
07132068,1,unter 18,11.4
07132075,2,19 bis 39,1.8
07132079,4,60 bis 74,3.9
07132101,1,unter 18,0.9
07132113,3,40 bis 59,2.0
07132007,3,40 bis 59,4.4
07132010,4,60 bis 74,2.9
07132013,1,unter 18,6.2
07132014,1,unter 18,2.8
07132028,1,unter 18,8.0
07132034,3,40 bis 59,1.1
07132038,4,60 bis 74,3.1
07132044,1,unter 18,5.4
07132091,1,unter 18,3.6
07132096,1,unter 18,4.0
07132102,3,40 bis 59,3.7
07132012,4,60 bis 74,3.4
07132037,4,60 bis 74,3.0
07132045,3,40 bis 59,3.8
07132063,4,60 bis 74,2.7
07132072,4,60 bis 74,1.9
07132076,5,75 und älter,4.3
07132008,3,40 bis 59,2.8
07132011,4,60 bis 74,9.1
07132054,3,40 bis 59,4.9
07132080,3,40 bis 59,3.2
07132105,4,60 bis 74,2.5
07132117,1,unter 18,0.8
07132002,3,40 bis 59,1.7
07132006,1,unter 18,1.4
07132020,4,60 bis 74,4.2
07132024,4,60 bis 74,3.8
07132025,3,40 bis 59,3.0
07132030,3,40 bis 59,5.0
07132039,4,60 bis 74,1.6
07132042,3,40 bis 59,5.6
07132059,1,unter 18,2.2
07132066,4,60 bis 74,7.0
07132071,3,40 bis 59,4.5
07132073,1,unter 18,1.1
07132095,3,40 bis 59,3.9
07132098,4,60 bis 74,2.2
07132107,4,60 bis 74,2.0
07132108,4,60 bis 74,2.2
07132111,1,unter 18,1.7
07132001,5,75 und älter,4.5
07132005,3,40 bis 59,3.4
07132009,1,unter 18,4.8
07132015,4,60 bis 74,6.1
07132016,1,unter 18,2.8
07132017,3,40 bis 59,1.1
07132022,4,60 bis 74,4.9
07132023,3,40 bis 59,2.1
07132031,3,40 bis 59,4.6
07132032,4,60 bis 74,3.5
07132033,4,60 bis 74,4.0
07132040,4,60 bis 74,2.7
07132043,1,unter 18,3.5
07132046,3,40 bis 59,6.3
07132047,1,unter 18,4.5
07132048,4,60 bis 74,5.4
07132049,2,19 bis 39,9.3
07132051,4,60 bis 74,3.3
07132052,4,60 bis 74,4.5
07132055,4,60 bis 74,3.3
07132057,3,40 bis 59,5.5
07132060,3,40 bis 59,7.9
07132061,1,unter 18,10.3
07132062,4,60 bis 74,4.7
07132065,4,60 bis 74,3.4
07132067,1,unter 18,3.2
07132069,5,75 und älter,14.2
07132070,1,unter 18,3.7
07132078,5,75 und älter,14.9
07132081,3,40 bis 59,1.6
07132082,4,60 bis 74,4.3
07132083,3,40 bis 59,1.9
07132086,4,60 bis 74,4.7
07132089,4,60 bis 74,3.3
07132090,1,unter 18,2.7
07132092,1,unter 18,5.6
07132093,3,40 bis 59,2.1
07132094,4,60 bis 74,5.5
07132097,4,60 bis 74,4.9
07132099,1,unter 18,4.2
07132100,5,75 und älter,3.4
07132103,3,40 bis 59,7.3
07132106,1,unter 18,6.1
07132112,1,unter 18,4.7
07132114,4,60 bis 74,2.8
07132115,4,60 bis 74,1.3
07132116,1,unter 18,3.4
07132118,1,unter 18,4.4
07132201,1,unter 18,2.9
07132501,4,60 bis 74,1.4
07132502,1,unter 18,3.6
07133006,5,75 und älter,1.2
07133003,4,60 bis 74,2.5
07133012,3,40 bis 59,7.3
07133030,4,60 bis 74,3.4
07133031,1,unter 18,2.9
07133032,1,unter 18,2.2
07133037,4,60 bis 74,2.4
07133039,3,40 bis 59,4.3
07133045,5,75 und älter,2.1
07133069,4,60 bis 74,7.8
07133078,1,unter 18,2.3
07133080,3,40 bis 59,7.1
07133104,3,40 bis 59,5.6
07133106,4,60 bis 74,3.0
07133002,1,unter 18,2.4
07133004,4,60 bis 74,4.5
07133013,4,60 bis 74,3.1
07133014,4,60 bis 74,5.4
07133015,4,60 bis 74,3.7
07133027,4,60 bis 74,6.7
07133036,3,40 bis 59,3.3
07133040,4,60 bis 74,1.6
07133044,3,40 bis 59,7.2
07133048,3,40 bis 59,3.2
07133061,4,60 bis 74,4.8
07133070,4,60 bis 74,7.8
07133071,1,unter 18,2.7
07133074,4,60 bis 74,3.2
07133075,4,60 bis 74,4.0
07133086,1,unter 18,2.2
07133088,1,unter 18,4.5
07133089,3,40 bis 59,6.5
07133098,4,60 bis 74,5.5
07133099,3,40 bis 59,2.0
07133100,1,unter 18,6.5
07133101,4,60 bis 74,5.3
07133105,4,60 bis 74,3.4
07133107,4,60 bis 74,2.9
07133109,4,60 bis 74,2.4
07133112,3,40 bis 59,3.1
07133115,4,60 bis 74,2.0
07133117,3,40 bis 59,2.5
07133008,4,60 bis 74,8.4
07133010,1,unter 18,4.9
07133038,4,60 bis 74,5.8
07133041,4,60 bis 74,5.6
07133043,4,60 bis 74,2.9
07133046,4,60 bis 74,5.2
07133052,4,60 bis 74,2.1
07133059,4,60 bis 74,8.8
07133063,3,40 bis 59,4.0
07133073,4,60 bis 74,6.5
07133077,4,60 bis 74,7.3
07133096,4,60 bis 74,2.7
07133113,4,60 bis 74,5.8
07133201,4,60 bis 74,3.4
07133204,4,60 bis 74,9.8
07133001,4,60 bis 74,7.1
07133011,4,60 bis 74,8.5
07133017,4,60 bis 74,7.8
07133020,4,60 bis 74,5.1
07133022,4,60 bis 74,3.8
07133024,4,60 bis 74,12.3
07133049,4,60 bis 74,8.1
07133050,1,unter 18,3.5
07133053,4,60 bis 74,6.4
07133057,4,60 bis 74,8.6
07133058,4,60 bis 74,7.9
07133064,4,60 bis 74,6.1
07133065,5,75 und älter,2.8
07133066,4,60 bis 74,2.3
07133067,3,40 bis 59,3.3
07133072,4,60 bis 74,3.7
07133076,4,60 bis 74,3.7
07133081,4,60 bis 74,3.4
07133083,4,60 bis 74,7.7
07133084,5,75 und älter,2.8
07133090,3,40 bis 59,2.4
07133094,4,60 bis 74,7.3
07133102,4,60 bis 74,4.3
07133111,4,60 bis 74,3.6
07133116,5,75 und älter,6.2
07133501,5,75 und älter,2.1
07133018,1,unter 18,2.9
07133023,4,60 bis 74,6.9
07133025,3,40 bis 59,3.2
07133026,1,unter 18,3.1
07133028,4,60 bis 74,6.8
07133035,3,40 bis 59,2.7
07133054,1,unter 18,0.9
07133056,4,60 bis 74,4.7
07133085,4,60 bis 74,3.8
07133087,3,40 bis 59,3.4
07133091,4,60 bis 74,7.0
07133093,1,unter 18,2.5
07133095,3,40 bis 59,3.7
07133103,4,60 bis 74,3.1
07133108,3,40 bis 59,3.9
07133110,3,40 bis 59,2.1
07133114,4,60 bis 74,3.2
07134045,4,60 bis 74,2.9
07134005,4,60 bis 74,3.5
07134007,3,40 bis 59,5.0
07134008,1,unter 18,1.9
07134021,4,60 bis 74,6.8
07134026,1,unter 18,4.1
07134027,4,60 bis 74,7.6
07134033,4,60 bis 74,3.9
07134036,4,60 bis 74,3.5
07134054,3,40 bis 59,7.4
07134068,3,40 bis 59,6.8
07134074,4,60 bis 74,6.2
07134075,4,60 bis 74,4.3
07134001,4,60 bis 74,5.2
07134002,4,60 bis 74,9.1
07134010,2,19 bis 39,2.7
07134015,1,unter 18,3.7
07134016,4,60 bis 74,3.1
07134020,4,60 bis 74,2.8
07134022,1,unter 18,10.8
07134024,4,60 bis 74,5.0
07134029,4,60 bis 74,9.9
07134031,3,40 bis 59,4.2
07134034,4,60 bis 74,5.2
07134042,2,19 bis 39,12.6
07134048,4,60 bis 74,11.8
07134050,4,60 bis 74,5.7
07134057,4,60 bis 74,3.8
07134058,4,60 bis 74,6.4
07134061,4,60 bis 74,8.6
07134062,4,60 bis 74,5.4
07134063,3,40 bis 59,7.5
07134071,4,60 bis 74,7.8
07134072,4,60 bis 74,5.9
07134078,4,60 bis 74,5.7
07134080,4,60 bis 74,7.3
07134084,4,60 bis 74,7.9
07134085,4,60 bis 74,5.1
07134094,3,40 bis 59,3.3
07134003,4,60 bis 74,6.5
07134006,1,unter 18,2.8
07134009,4,60 bis 74,5.8
07134013,4,60 bis 74,5.0
07134014,4,60 bis 74,5.2
07134017,4,60 bis 74,4.1
07134019,4,60 bis 74,5.5
07134025,4,60 bis 74,2.2
07134028,4,60 bis 74,1.5
07134030,3,40 bis 59,3.3
07134032,4,60 bis 74,8.2
07134035,3,40 bis 59,3.6
07134038,5,75 und älter,5.3
07134039,5,75 und älter,10.3
07134040,4,60 bis 74,4.7
07134041,4,60 bis 74,10.0
07134043,4,60 bis 74,4.9
07134044,4,60 bis 74,12.0
07134046,3,40 bis 59,5.5
07134047,5,75 und älter,5.2
07134052,4,60 bis 74,9.4
07134055,4,60 bis 74,4.4
07134056,3,40 bis 59,3.2
07134059,4,60 bis 74,9.6
07134060,4,60 bis 74,7.6
07134065,4,60 bis 74,5.2
07134066,4,60 bis 74,5.9
07134069,1,unter 18,3.0
07134076,4,60 bis 74,4.1
07134077,4,60 bis 74,8.2
07134081,4,60 bis 74,9.5
07134082,4,60 bis 74,1.9
07134083,4,60 bis 74,13.6
07134087,4,60 bis 74,4.7
07134088,4,60 bis 74,4.0
07134089,3,40 bis 59,5.1
07134095,4,60 bis 74,8.2
07135012,4,60 bis 74,4.9
07135015,1,unter 18,1.8
07135017,4,60 bis 74,3.0
07135020,5,75 und älter,4.2
07135021,5,75 und älter,5.8
07135024,4,60 bis 74,6.3
07135025,4,60 bis 74,9.6
07135027,4,60 bis 74,3.8
07135029,4,60 bis 74,5.1
07135036,3,40 bis 59,3.8
07135049,4,60 bis 74,6.9
07135053,4,60 bis 74,7.2
07135060,4,60 bis 74,9.2
07135065,4,60 bis 74,4.2
07135066,4,60 bis 74,7.5
07135072,4,60 bis 74,6.5
07135079,4,60 bis 74,4.4
07135082,5,75 und älter,4.4
07135086,3,40 bis 59,4.7
07135090,5,75 und älter,1.8
07135009,3,40 bis 59,4.3
07135011,4,60 bis 74,6.9
07135014,4,60 bis 74,11.6
07135016,4,60 bis 74,3.5
07135022,3,40 bis 59,6.7
07135023,3,40 bis 59,2.4
07135026,4,60 bis 74,4.6
07135028,1,unter 18,4.3
07135031,4,60 bis 74,5.4
07135033,4,60 bis 74,6.3
07135038,1,unter 18,5.8
07135040,1,unter 18,2.9
07135042,3,40 bis 59,2.9
07135043,3,40 bis 59,3.8
07135045,1,unter 18,0.4
07135046,1,unter 18,2.9
07135051,3,40 bis 59,3.3
07135052,4,60 bis 74,1.6
07135058,3,40 bis 59,2.1
07135067,4,60 bis 74,2.2
07135075,3,40 bis 59,5.3
07135084,4,60 bis 74,1.5
07135002,3,40 bis 59,2.2
07135005,1,unter 18,4.6
07135008,3,40 bis 59,5.0
07135018,1,unter 18,3.9
07135034,2,19 bis 39,3.6
07135035,4,60 bis 74,4.9
07135057,4,60 bis 74,2.4
07135078,4,60 bis 74,10.5
07135083,1,unter 18,3.0
07135085,4,60 bis 74,12.3
07135091,1,unter 18,4.1
07135501,4,60 bis 74,2.8
07135001,5,75 und älter,8.2
07135003,4,60 bis 74,6.2
07135004,4,60 bis 74,14.3
07135010,1,unter 18,1.9
07135013,4,60 bis 74,4.5
07135019,4,60 bis 74,3.7
07135037,4,60 bis 74,10.6
07135039,4,60 bis 74,6.7
07135054,4,60 bis 74,3.4
07135061,4,60 bis 74,7.1
07135064,2,19 bis 39,4.5
07135068,4,60 bis 74,12.0
07135070,3,40 bis 59,3.8
07135071,1,unter 18,3.0
07135073,4,60 bis 74,5.6
07135076,4,60 bis 74,6.8
07135077,1,unter 18,6.5
07135080,4,60 bis 74,6.4
07135081,1,unter 18,5.1
07135088,1,unter 18,9.1
07135092,4,60 bis 74,7.3
07137003,4,60 bis 74,1.2
07137068,4,60 bis 74,2.0
07137203,1,unter 18,1.0
07137056,2,19 bis 39,2.3
07137057,1,unter 18,2.9
07137081,3,40 bis 59,1.5
07137088,1,unter 18,2.1
07137096,3,40 bis 59,4.1
07137027,3,40 bis 59,8.3
07137029,3,40 bis 59,3.0
07137030,3,40 bis 59,6.3
07137041,4,60 bis 74,5.2
07137048,3,40 bis 59,7.7
07137053,3,40 bis 59,3.9
07137065,3,40 bis 59,3.9
07137070,4,60 bis 74,3.2
07137080,3,40 bis 59,4.5
07137086,4,60 bis 74,1.5
07137087,4,60 bis 74,6.7
07137089,1,unter 18,1.9
07137095,4,60 bis 74,4.8
07137102,4,60 bis 74,3.1
07137112,3,40 bis 59,1.6
07137114,3,40 bis 59,5.5
07137501,4,60 bis 74,3.7
07137007,3,40 bis 59,3.3
07137011,4,60 bis 74,13.3
07137014,4,60 bis 74,3.4
07137019,3,40 bis 59,7.9
07137025,4,60 bis 74,4.0
