latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.54453,15.61392,310.55,0.4,0.44,2024-09-06,0120,N,nominal,2.0NRT,291.43,1.5,N
42.35634,11.53057,303.69,0.41,0.37,2024-09-06,0120,N,nominal,2.0NRT,291.43,0.85,N
40.39364,19.74756,302.52,0.34,0.56,2024-09-06,0120,N,nominal,2.0NRT,288.01,0.44,N
39.35302,22.98129,303.71,0.52,0.67,2024-09-06,0122,N,nominal,2.0NRT,289.62,1.9,N
39.35212,22.98509,305.08,0.52,0.67,2024-09-06,0122,N,nominal,2.0NRT,289.44,1.06,N
43.54101,-5.83051,316.58,0.5,0.66,2024-09-06,0122,N,nominal,2.0NRT,279.24,2.16,N
43.53486,-5.83072,304.43,0.5,0.66,2024-09-06,0122,N,nominal,2.0NRT,279.65,1.41,N
43.52664,-5.73059,309.11,0.49,0.65,2024-09-06,0122,N,nominal,2.0NRT,282.01,2.12,N
43.52052,-5.73098,295.85,0.49,0.65,2024-09-06,0122,N,nominal,2.0NRT,280.49,1.18,N
43.53606,-5.83496,295.78,0.5,0.66,2024-09-06,0122,N,nominal,2.0NRT,278.52,2.37,N
43.53589,-5.82846,311.36,0.5,0.66,2024-09-06,0122,N,nominal,2.0NRT,279.36,1.66,N
43.52715,-5.72854,306.16,0.49,0.65,2024-09-06,0122,N,nominal,2.0NRT,282.16,1.07,N
43.52103,-5.7288,303.52,0.49,0.65,2024-09-06,0122,N,nominal,2.0NRT,280.18,1.07,N
39.60338,16.26478,306.16,0.47,0.48,2024-09-06,0122,N,nominal,2.0NRT,290.7,0.86,N
41.89944,-7.48077,304.95,0.59,0.7,2024-09-06,0122,N,nominal,2.0NRT,280.99,2.05,N
41.89708,-7.94709,298.22,0.62,0.72,2024-09-06,0122,N,nominal,2.0NRT,275.03,1.69,N
41.89286,-7.48112,303.43,0.59,0.7,2024-09-06,0122,N,nominal,2.0NRT,280.41,2.17,N
41.89034,-7.94543,299.05,0.62,0.72,2024-09-06,0122,N,nominal,2.0NRT,274.77,1.69,N
41.89526,-7.47819,319.1,0.59,0.7,2024-09-06,0122,N,nominal,2.0NRT,282.98,3.6,N
41.89516,-7.94242,319.65,0.62,0.72,2024-09-06,0122,N,nominal,2.0NRT,276.71,2.24,N
41.42435,-8.14399,332.32,0.63,0.72,2024-09-06,0122,N,nominal,2.0NRT,280.97,4.73,N
